date,M0_YoY,M1_YoY,M2_YoY,CPI_YoY,PPI_YoY,PMI,M1_M2_scissors,M1_YoY_roll_mean,M1_YoY_roll_std,M2_YoY_roll_mean,M2_YoY_roll_std,M1_M2_scissors_roll_mean,M1_M2_scissors_roll_std,PPI_YoY_roll_mean,PPI_YoY_roll_std,CPI_YoY_roll_mean,CPI_YoY_roll_std
2011-10-31,11.9,8.4,12.9,5.4954,5.0038,50.4,-4.5,20.47388888888889,9.07785225630499,20.88861111111111,5.288248509817525,-0.4147222222222221,6.154458772124302,2.0124472222222223,5.78193810227708,2.5096777777777777,2.695064024165141
2011-11-30,12.0,7.8,12.7,4.2246,2.7179,49.0,-4.8999999999999995,20.46138888888889,9.094609754536013,20.829722222222223,5.366689581435844,-0.36833333333333323,6.116012940283423,1.968386111111111,5.752024736493242,2.551927777777778,2.7303731668150215
2011-12-31,13.8,7.9,13.6,4.0704,1.6854,50.3,-5.699999999999999,20.489166666666666,9.053123967527926,20.771388888888893,5.444944786695151,-0.28222222222222215,6.0266627159700485,1.9886055555555555,5.753382076406112,2.6016666666666666,2.744436866514825
2012-01-31,3.0,3.1,12.4,4.5485,0.7347,50.5,-9.3,20.456944444444442,9.096923756160477,20.654166666666665,5.554620406215247,-0.19722222222222208,5.924387182828574,2.0670888888888888,5.728702670826105,2.681402777777778,2.744246059926229
2012-02-29,8.8,4.3,13.0,3.1613,0.0284,51.0,-8.7,20.3575,9.269757393958978,20.47666666666667,5.715655692919228,-0.11916666666666657,5.779692713037853,2.180552777777778,5.658364585409871,2.781361111111111,2.744915412204669
2012-03-31,10.6,4.4,13.4,3.5856,-0.3171,53.1,-9.0,20.175,9.523093284972363,20.268888888888892,5.849912222920357,-0.09388888888888874,5.738843725140744,2.3055083333333335,5.55604677448042,2.9124583333333334,2.6425283957793146
2012-04-30,10.4,3.1,12.8,3.3653,-0.6984,53.3,-9.700000000000001,19.82388888888889,9.868724125894687,19.9325,5.887978733948395,-0.1086111111111109,5.761580216164797,2.4630888888888887,5.392075213643379,3.0445972222222224,2.5497905090963404
2012-05-31,10.0,3.5,13.2,3.0008,-1.3981,50.4,-9.7,19.424444444444447,10.24996263252964,19.56722222222222,5.911850380433768,-0.14277777777777761,5.815970923051264,2.627022222222222,5.194762724300097,3.1797444444444443,2.4280624961884367
2012-06-30,10.8,4.7,13.6,2.1504,-2.0843,50.2,-8.899999999999999,19.0025,10.588133350933148,19.218888888888888,5.907185347537244,-0.2163888888888888,5.921700601674575,2.788186111111111,4.966144748028696,3.301191666666666,2.299882594317122
2012-07-31,10.0,4.6,13.9,1.8,-2.8651,50.1,-9.3,18.444444444444443,10.801659778397667,18.806111111111115,5.760355285559475,-0.36166666666666647,6.071118277785167,2.9469555555555558,4.702323848934052,3.408147222222222,2.1449720602224445
2012-08-31,9.7,4.5,13.5,2.0,-3.4784,49.2,-9.0,17.83972222222222,10.953596013863239,18.40277777777778,5.573267628913223,-0.5630555555555553,6.246438902947339,3.095702777777778,4.414901073830118,3.5083055555555553,1.9717466774330445
2012-09-30,13.3,7.3,14.8,1.9,-3.5545,49.8,-7.500000000000001,17.19472222222222,11.038498470900084,17.985277777777778,5.351495110773706,-0.7905555555555552,6.402873883519334,3.217413888888889,4.157112379604226,3.597313888888889,1.819368797319204
2012-10-31,10.5,6.1,14.1,1.7,-2.7558,50.2,-8.0,16.577777777777776,10.95084187529789,17.58222222222222,5.00969295387087,-1.0044444444444443,6.496760267106517,3.3128444444444445,3.950389074975087,3.6719888888888885,1.6843830169747653
