,date,series,value,score,method,M1_YoY,M2_YoY,M1_M2_scissors,PPI_YoY,CPI_YoY,n_methods
178,2016-06-30,M1_YoY,24.6,2.59562439464443,zscore,,,,,,2
179,2016-06-30,M1_YoY,24.6,5.203356330617829,stl,,,,,,2
180,2016-07-31,M1_M2_scissors,15.2,2.902949282655175,zscore,,,,,,2
181,2016-07-31,M1_M2_scissors,15.2,9.79774039516197,stl,,,,,,2
182,2016-07-31,M1_YoY,25.4,7.955479533846867,stl,,,,,,2
183,2016-07-31,M2_YoY,10.2,-2.503737261856362,zscore,,,,,,2
184,2016-07-31,M2_YoY,10.2,-4.713120014378528,stl,,,,,,2
185,2016-08-31,M1_M2_scissors,13.9,8.776719206679015,stl,,,,,,1
186,2016-08-31,M1_YoY,25.3,7.583433040544168,stl,,,,,,1
187,2016-09-30,M1_M2_scissors,13.2,6.818322291028249,stl,,,,,,1
188,2016-09-30,M1_YoY,24.7,5.603076009600168,stl,,,,,,1
189,2016-10-31,M1_M2_scissors,12.3,4.09016789105715,stl,,,,,,1
190,2016-11-30,PPI_YoY,3.3,3.2911994832501286,zscore,,,,,,1
191,2016-12-31,PPI_YoY,5.5,3.8408877517703495,zscore,,,,,,2
192,2016-12-31,PPI_YoY,5.5,5.963947446023635,stl,,,,,,2
193,2017-01-31,M1_M2_scissors,3.7967999999999993,-6.679521108522229,stl,,,,,,2
194,2017-01-31,M1_YoY,14.5,-7.424587129190012,stl,,,,,,2
195,2017-01-31,PPI_YoY,6.9,3.7107780381716156,zscore,,,,,,2
196,2017-01-31,PPI_YoY,6.9,7.340516453060029,stl,,,,,,2
197,2017-02-28,ALL (multi-variable),,-0.03432470410478705,iforest,21.4,10.45,10.95,7.8,0.8,3
198,2017-02-28,PPI_YoY,7.8,3.3754345185257266,zscore,,,,,,3
199,2017-02-28,PPI_YoY,7.8,7.962488379743543,stl,,,,,,3
200,2017-03-31,PPI_YoY,7.6,2.80768696428335,zscore,,,,,,2
201,2017-03-31,PPI_YoY,7.6,6.882208894309205,stl,,,,,,2
202,2017-04-30,PPI_YoY,6.4,3.988464813528265,stl,,,,,,1
203,2018-01-31,M1_M2_scissors,6.4,7.181349383277325,stl,,,,,,1
204,2018-01-31,M1_YoY,15.0,6.147899440081546,stl,,,,,,1
205,2018-02-28,CPI_YoY,2.9,3.0339897603756314,zscore,,,,,,2
206,2018-02-28,CPI_YoY,2.9,5.092652747322272,stl,,,,,,2
207,2018-11-30,M1_M2_scissors,-6.5,-3.6835789955108895,stl,,,,,,1
208,2018-12-31,M1_M2_scissors,-6.6,-3.8158141033029453,stl,,,,,,1
209,2019-10-31,CPI_YoY,3.8,3.242041497425934,zscore,,,,,,1
210,2019-11-30,CPI_YoY,4.5,3.896184996592394,zscore,,,,,,2
211,2019-11-30,CPI_YoY,4.5,4.090151959689336,stl,,,,,,2
212,2019-12-31,CPI_YoY,4.5,3.1877861346235288,zscore,,,,,,2
213,2019-12-31,CPI_YoY,4.5,6.252364338080391,stl,,,,,,2
214,2020-01-31,CPI_YoY,5.4,3.8031936226407046,zscore,,,,,,2
215,2020-01-31,CPI_YoY,5.4,10.089230926436379,stl,,,,,,2
216,2020-02-29,CPI_YoY,5.2,2.9331368120574015,zscore,,,,,,2
217,2020-02-29,CPI_YoY,5.2,9.996503493835416,stl,,,,,,2
218,2020-03-31,CPI_YoY,4.3,5.609138150547097,stl,,,,,,2
219,2020-03-31,M2_YoY,10.1,3.19560930397521,zscore,,,,,,2
220,2020-04-30,M2_YoY,11.1,5.271540589488026,zscore,,,,,,2
221,2020-04-30,PPI_YoY,-3.1,-4.876312000731013,stl,,,,,,2
222,2020-05-31,M2_YoY,11.1,4.131217632345925,zscore,,,,,,2
223,2020-05-31,PPI_YoY,-3.7,-4.834635893760187,stl,,,,,,2
224,2020-06-30,M2_YoY,11.1,3.3489894424477327,zscore,,,,,,2
225,2020-06-30,PPI_YoY,-3.0,-5.390083253662972,stl,,,,,,2
226,2020-10-31,CPI_YoY,0.5,-4.8195421775369125,stl,,,,,,1
227,2020-10-31,M1_YoY,9.1,3.2154984458827887,stl,,,,,,1
228,2020-11-30,CPI_YoY,-0.5,-2.911374322548685,zscore,,,,,,2
229,2020-11-30,CPI_YoY,-0.5,-6.870709613171987,stl,,,,,,2
230,2020-11-30,M1_YoY,10.0,4.708239092676489,stl,,,,,,2
231,2021-01-31,M1_M2_scissors,5.299999999999999,3.450046928392504,zscore,,,,,,2
232,2021-01-31,M1_M2_scissors,5.299999999999999,11.16034758169431,stl,,,,,,2
233,2021-01-31,M1_YoY,14.7,3.1554024059741783,zscore,,,,,,2
234,2021-01-31,M1_YoY,14.7,10.830543437362659,stl,,,,,,2
235,2021-04-30,M2_YoY,8.1,-4.9995606663985095,stl,,,,,,2
236,2021-04-30,PPI_YoY,6.8,2.686990918562911,zscore,,,,,,2
237,2021-05-31,M2_YoY,8.3,-4.230523122421431,stl,,,,,,2
238,2021-05-31,PPI_YoY,9.0,3.3095358800148222,zscore,,,,,,2
239,2021-05-31,PPI_YoY,9.0,4.58456196702355,stl,,,,,,2
240,2021-06-30,PPI_YoY,8.8,2.841037193466347,zscore,,,,,,1
241,2021-07-31,PPI_YoY,9.0,2.6530189856971904,zscore,,,,,,2
242,2021-07-31,PPI_YoY,9.0,5.02526173051029,stl,,,,,,2
243,2021-08-31,PPI_YoY,9.5,2.580795781107131,zscore,,,,,,2
244,2021-08-31,PPI_YoY,9.5,6.410235596850563,stl,,,,,,2
245,2021-09-30,PPI_YoY,10.7,2.6843836899640685,zscore,,,,,,2
246,2021-09-30,PPI_YoY,10.7,7.980170252538701,stl,,,,,,2
247,2021-10-31,PPI_YoY,13.5,3.1207711111145615,zscore,,,,,,2
248,2021-10-31,PPI_YoY,13.5,12.11019179928806,stl,,,,,,2
249,2021-11-30,PPI_YoY,12.9,2.5767547794756336,zscore,,,,,,2
250,2021-11-30,PPI_YoY,12.9,10.509125668972864,stl,,,,,,2
251,2021-12-31,PPI_YoY,10.3,5.517152803170969,stl,,,,,,1
252,2022-01-31,ALL (multi-variable),,-0.033397065949576255,iforest,-1.9,9.8,-11.7,9.1,0.9,3
253,2022-01-31,M1_M2_scissors,-11.7,-3.3245639218131893,zscore,,,,,,3
254,2022-01-31,M1_M2_scissors,-11.7,-6.86681426095145,stl,,,,,,3
255,2022-01-31,M1_YoY,-1.9,-6.376706281364202,stl,,,,,,3
256,2022-07-31,M2_YoY,12.0,3.090634088878453,stl,,,,,,1
257,2022-08-31,M2_YoY,12.2,3.418449899694266,stl,,,,,,1
258,2022-09-30,CPI_YoY,2.8,3.547104573290009,stl,,,,,,1
259,2023-01-31,CPI_YoY,2.1,4.719415761497949,stl,,,,,,1
260,2023-02-28,M2_YoY,12.9,4.060866527158702,stl,,,,,,1
261,2023-03-31,M2_YoY,12.7,3.793709951243485,stl,,,,,,1
262,2023-04-30,PPI_YoY,-3.6,-4.599238442757176,stl,,,,,,1
263,2023-05-31,PPI_YoY,-4.6,-5.7680862216188675,stl,,,,,,1
264,2023-06-30,PPI_YoY,-5.4,-7.509314444265863,stl,,,,,,1
265,2023-07-31,PPI_YoY,-4.4,-5.030247929791474,stl,,,,,,1
266,2024-01-31,M1_M2_scissors,-2.799999999999999,5.188475439708317,stl,,,,,,1
267,2024-01-31,M1_YoY,5.9,4.230059744231823,stl,,,,,,1
268,2024-04-30,M1_YoY,-1.4,-2.7299164832456495,zscore,,,,,,2
269,2024-04-30,M2_YoY,7.2,-4.124347181564523,stl,,,,,,2
270,2024-05-31,M1_M2_scissors,-11.2,-3.9942552283216797,stl,,,,,,2
271,2024-05-31,M1_YoY,-4.2,-3.722136521823538,zscore,,,,,,2
272,2024-05-31,M1_YoY,-4.2,-5.063111160136644,stl,,,,,,2
273,2024-05-31,M2_YoY,7.0,-3.480580119389658,stl,,,,,,2
274,2024-06-30,M1_M2_scissors,-11.2,-4.143260679352904,stl,,,,,,2
275,2024-06-30,M1_YoY,-5.0,-3.4119113623674333,zscore,,,,,,2
276,2024-06-30,M1_YoY,-5.0,-4.933917309636525,stl,,,,,,2
277,2024-06-30,M2_YoY,6.2,-4.774828706050622,stl,,,,,,2
278,2024-07-31,M1_M2_scissors,-12.9,-2.904089347757607,zscore,,,,,,2
279,2024-07-31,M1_M2_scissors,-12.9,-6.3760751428440745,stl,,,,,,2
280,2024-07-31,M1_YoY,-6.6,-3.447336028110735,zscore,,,,,,2
281,2024-07-31,M1_YoY,-6.6,-6.1969482733872345,stl,,,,,,2
282,2024-08-31,M1_M2_scissors,-13.6,-2.914830100390557,zscore,,,,,,2
283,2024-08-31,M1_M2_scissors,-13.6,-7.282841744831616,stl,,,,,,2
284,2024-08-31,M1_YoY,-7.3,-3.119120760599715,zscore,,,,,,2
285,2024-08-31,M1_YoY,-7.3,-6.829487721819291,stl,,,,,,2
286,2024-09-30,M1_M2_scissors,-14.2,-2.835433924457139,zscore,,,,,,2
287,2024-09-30,M1_M2_scissors,-14.2,-9.753225768821073,stl,,,,,,2
